cod;nombre;pct_menores_18;pct_mayores_67;pct_migrantes;indice_fecundidad;renta_bruta_persona;pct_solteros;pct_casados;pct_divorciados;pct_cuenta_propia;pct_agricultura;pct_secundario;pct_directores;pct_cualificados;pct_primaria_inferior;pct_secundaria_2a;pct_superior;tasa_paro;tasa_empleo;tasa_actividad
01001;Alegría-Dulantzi;19,66;11,85;16,14;1,1;19643,0;34,86;54,15;6,61;13,98;1,4;29,7;31,02;55,42;10,75;20,78;42,95;10,24;67,69;65,48
01002;Amurrio;17,37;21,9;11,07;1,34;20844,0;31,49;55,89;4,68;16,22;1,65;35,1;33,95;51,51;12,87;24,8;40,03;11,42;67,46;55,26
01003;Aramaio;15,96;22,23;4,29;0,92;25102,0;36,6;53,09;4,14;34,13;3,82;34,5;50,17;42,71;8,53;17,47;54,97;2,74;75,59;55,03
01004;Artziniega;18,31;17,92;9,69;1,29;19530,0;33,71;52,42;7,17;17,84;2,26;27,51;35,98;51,85;10,62;22,65;44,47;11,8;67,64;59,45
01006;Armiñón;18,37;10,73;14,16;1,02;20322,0;32,52;53,88;7,28;20,0;3,2;30,4;27,97;64,41;8,84;23,72;40,47;8,21;71,51;63,21
01008;Arratzua-Ubarrundia;16,26;20,19;5,95;1,72;27877,0;34,04;54,54;5,04;25,56;3,65;25,96;44,4;46,12;7,04;17,38;52,7;5,68;74,55;58,67
01009;Asparrena;13,63;20,22;11,98;0,79;20041,0;37,93;48,95;6,02;15,21;5,21;36,34;27,42;55,59;10,18;19,3;38,25;7,98;67,52;55,07
01010;Ayala/Aiara;17,55;16,85;5,62;1,06;20622,0;33,8;56,01;4,28;20,85;5,97;35,18;31,66;54,85;11,57;20,29;46,73;7,8;70,78;60,93
01011;Baños de Ebro/Mañueta;8,22;24,04;18,84;0,74;14016,0;35,94;51,95;5,08;52,0;52,67;16,67;18,64;59,32;20,59;15,07;30,88;5,13;76,29;57,35
01013;Barrundia;14,31;20,84;6,46;1,14;23077,0;33,99;55,77;5,38;32,31;11,87;23,08;39,86;55,19;8,58;19,08;54,16;4,74;77,0;60,42
01014;Berantevilla;14,99;22,36;11,58;1,14;21549,0;31,44;54,7;6,68;20,98;11,16;32,59;31,66;54,77;15,05;23,06;42,23;6,56;74,51;59,95
01016;Bernedo;10,68;25,4;7,76;1,14;22012,0;36,36;50,21;6,4;26,56;13,69;29,46;25,69;61,01;14,37;20,56;40,52;7,04;73,18;54,88
01017;Campezo/Kanpezu;13,2;21,94;11,58;0,64;19478,0;35,74;50,85;5,21;17,98;4,95;32,28;28,04;58,97;11,86;19,69;38,45;7,29;73,45;57,13
01018;Zigoitia;15,34;21,37;6,95;1,01;27508,0;32,56;56,45;5,07;26,14;4,11;24,2;42,62;47,82;7,06;18,22;55,45;4,9;74,42;58,03
01019;Kripan;10,29;24,34;4,57;0,23;15697,0;42,77;47,17;3,14;32,95;26,14;21,59;33,8;49,3;12,8;18,29;39,63;4,49;73,28;55,28
01020;Kuartango;16,22;24,58;8,71;2,0;21318,0;31,29;57,6;5,56;24,0;9,14;28,0;29,09;57,58;6,88;24,36;40,69;9,79;76,75;55,75
01021;Elburgo/Burgelu;16,82;15,63;8,42;1,03;24869,0;29,15;62,55;5,72;26,01;9,29;21,05;37,58;56,71;6,13;18,74;55,68;6,48;77,21;64,55
01022;Elciego;16,02;23,03;11,34;0,89;20391,0;34,68;51,65;5,7;31,44;18,81;27,72;26,15;57,14;15,16;17,73;39,73;11,43;66,5;54,99
01023;Elvillar/Bilar;10,54;27,17;7,3;0,89;15974,0;32,03;53,02;4,98;50,33;45,75;19,61;15,25;66,1;20,55;18,84;23,97;6,83;76,92;55,71
01027;Iruraiz-Gauna;13,27;18,13;5,58;1,33;24925,0;37,45;51,85;4,53;25,44;12,2;21,95;35,8;55,25;10,2;22,24;49,18;3,99;76,05;61,81
01028;Labastida/Bastida;18,58;18,44;13,67;1,6;17175,0;35,2;51,73;6,61;26,14;12,13;25,51;28,55;57,77;11,99;18,89;36,95;13,12;64,64;57,77
